,Origin,Destination,Requirement
152,Afghanistan,Oman,eVisa
153,Afghanistan,Pakistan,Visa Required
154,Afghanistan,Palau Islands,Visa Free
155,Afghanistan,Palestinian Territory,Visa Required
156,Afghanistan,Panama,Visa Required
157,Afghanistan,Papua New Guinea,Visa Required
158,Afghanistan,Paraguay,Visa Required
159,Afghanistan,Peru,Visa Required
160,Afghanistan,Philippines,Visa Required
161,Afghanistan,Poland,Visa Required
162,Afghanistan,Portugal,Visa Required
163,Afghanistan,Puerto Rico,Visa Required
164,Afghanistan,Qatar,eVisa
165,Afghanistan,Reunion,Visa Required
166,Afghanistan,Romania,Visa Required
167,Afghanistan,Russian Federation,Visa Required
168,Afghanistan,Rwanda,Visa Free
169,Afghanistan,Samoa,Visa Free
170,Afghanistan,San Marino,Visa Required
171,Afghanistan,Sao Tome and Principe,eVisa
172,Afghanistan,Saudi Arabia,Visa Required
173,Afghanistan,Senegal,Visa Free
174,Afghanistan,Serbia,Visa Required
175,Afghanistan,Seychelles,Visa Free
176,Afghanistan,Sierra Leone,Visa Required
177,Afghanistan,Singapore,Visa Required
178,Afghanistan,Slovakia,Visa Required
179,Afghanistan,Slovenia,Visa Required
180,Afghanistan,Solomon Islands,Visa Required
181,Afghanistan,Somalia,Visa Free
182,Afghanistan,South Africa,Visa Required
183,Afghanistan,South Korea,Visa Required
184,Afghanistan,South Sudan,Visa Required
185,Afghanistan,Spain,Visa Required
186,Afghanistan,Sri Lanka,Visa Required
187,Afghanistan,St. Helena,Visa Required
188,Afghanistan,St. Kitts and Nevis,eVisa
189,Afghanistan,St. Lucia,Visa Required
190,Afghanistan,St. Maarten,Visa Required
191,Afghanistan,St. Vincent and the Grenadines,Visa Free
192,Afghanistan,Sudan,Visa Required
193,Afghanistan,Suriname,eVisa
194,Afghanistan,Sweden,Visa Required
195,Afghanistan,Switzerland,Visa Required
196,Afghanistan,Syria,Visa Required
197,Afghanistan,Taiwan (Chinese Taipei),Visa Required
198,Afghanistan,Tajikistan,eVisa
199,Afghanistan,Tanzania,Visa Required
200,Afghanistan,Thailand,Visa Required
201,Afghanistan,The Gambia,Visa Required
202,Afghanistan,Timor-Leste,Visa Free
203,Afghanistan,Togo,Visa Free
204,Afghanistan,Tonga,Visa Required
205,Afghanistan,Trinidad and Tobago,Visa Required
206,Afghanistan,Tunisia,Visa Required
207,Afghanistan,Turkmenistan,Visa Required
208,Afghanistan,Turks and Caicos Islands,Visa Required
209,Afghanistan,Tuvalu,Visa Free
210,Afghanistan,Türkiye,eVisa
211,Afghanistan,US Virgin Islands,Visa Required
212,Afghanistan,Uganda,Visa Free
213,Afghanistan,Ukraine,Visa Required
214,Afghanistan,United Arab Emirates,eVisa
215,Afghanistan,United Kingdom,Visa Required
216,Afghanistan,United States,Visa Required
217,Afghanistan,Uruguay,Visa Required
218,Afghanistan,Uzbekistan,eVisa
219,Afghanistan,Vanuatu,Visa Required
220,Afghanistan,Vatican City,Visa Required
221,Afghanistan,Venezuela,Visa Required
222,Afghanistan,Vietnam,Visa Required
223,Afghanistan,Yemen,Visa Required
224,Afghanistan,Zambia,eVisa
225,Afghanistan,Zimbabwe,eVisa
226,Afghanistan,eSwatini,Visa Required
227,Albania,Afghanistan,Visa Required
228,Albania,Albania,N/A
229,Albania,Algeria,Visa Required
230,Albania,American Samoa,Visa Required
231,Albania,Andorra,Visa Free
232,Albania,Angola,Visa Required
233,Albania,Anguilla,Visa Required
234,Albania,Antigua and Barbuda,Visa Free
235,Albania,Argentina,Visa Required
236,Albania,Armenia,Visa Free
237,Albania,Aruba,Visa Free
238,Albania,Australia,Visa Required
239,Albania,Austria,Visa Free
240,Albania,Azerbaijan,eVisa
241,Albania,Bahamas,Visa Required
242,Albania,Bahrain,Visa Required
243,Albania,Bangladesh,Visa Free
244,Albania,Barbados,Visa Free
245,Albania,Belarus,Visa Required
246,Albania,Belgium,Visa Free
247,Albania,Belize,Visa Required
248,Albania,Benin,eVisa
249,Albania,Bermuda,Visa Required
250,Albania,Bhutan,Visa Required
251,Albania,Bolivia,Visa Free
252,Albania,Bonaire; St. Eustatius and Saba,Visa Free
253,Albania,Bosnia and Herzegovina,Visa Free
254,Albania,Botswana,Visa Required
255,Albania,Brazil,Visa Free
256,Albania,British Virgin Islands,Visa Required
257,Albania,Brunei,Visa Required
258,Albania,Bulgaria,Visa Free
259,Albania,Burkina Faso,Visa Required
260,Albania,Burundi,Visa Free
261,Albania,Cambodia,Visa Free
262,Albania,Cameroon,Visa Required
263,Albania,Canada,Visa Required
264,Albania,Cape Verde Islands,Visa Free
265,Albania,Cayman Islands,Visa Required
266,Albania,Central African Republic,Visa Required
267,Albania,Chad,Visa Required
268,Albania,Chile,Visa Free
269,Albania,China,Visa Free
270,Albania,Colombia,Visa Free
271,Albania,Comoro Islands,Visa Free
272,Albania,Congo (Dem. Rep.),Visa Required
273,Albania,Congo (Rep.),Visa Required
274,Albania,Cook Islands,Visa Free
275,Albania,Costa Rica,Visa Required
276,Albania,Cote d'Ivoire,Visa Required
277,Albania,Croatia,Visa Free
278,Albania,Cuba,Visa Required
279,Albania,Curacao,Visa Free
280,Albania,Cyprus,Visa Free
281,Albania,Czech Republic,Visa Free
282,Albania,Denmark,Visa Free
283,Albania,Djibouti,eVisa
284,Albania,Dominica,Visa Free
285,Albania,Dominican Republic,Visa Free
286,Albania,Ecuador,Visa Free
287,Albania,Egypt,Visa Free
288,Albania,El Salvador,Visa Free
289,Albania,Equatorial Guinea,Visa Required
290,Albania,Eritrea,Visa Required
291,Albania,Estonia,Visa Free
292,Albania,Ethiopia,eVisa
293,Albania,Falkland Islands,Visa Required
294,Albania,Faroe Islands,Visa Free
295,Albania,Fiji,Visa Required
296,Albania,Finland,Visa Free
297,Albania,France,Visa Free
298,Albania,French Guiana,Visa Free
299,Albania,French Polynesia,Visa Free
300,Albania,French West Indies,Visa Free
301,Albania,Gabon,eVisa
302,Albania,Georgia,Visa Free
303,Albania,Germany,Visa Free
304,Albania,Ghana,Visa Required
305,Albania,Gibraltar,Visa Required
306,Albania,Greece,Visa Free
307,Albania,Greenland,Visa Free
308,Albania,Grenada,Visa Required
309,Albania,Guam,Visa Required
310,Albania,Guatemala,Visa Required
311,Albania,Guinea,Visa Required
312,Albania,Guinea-Bissau,Visa Free
313,Albania,Guyana,Visa Free
314,Albania,Haiti,Visa Free
315,Albania,Honduras,Visa Required
316,Albania,Hong Kong (SAR China),Visa Free
317,Albania,Hungary,Visa Free
318,Albania,Iceland,Visa Free
319,Albania,India,eVisa
320,Albania,Indonesia,Visa Free
321,Albania,Iran,Visa Free
322,Albania,Iraq,Visa Required
323,Albania,Ireland,Visa Required
324,Albania,Israel,Visa Free
325,Albania,Italy,Visa Free
326,Albania,Jamaica,Visa Free
327,Albania,Japan,Visa Required
328,Albania,Jordan,Visa Required
329,Albania,Kazakhstan,Visa Required
330,Albania,Kenya,eVisa
331,Albania,Kiribati,Visa Required
332,Albania,Kosovo,Visa Free
333,Albania,Kuwait,eVisa
334,Albania,Kyrgyzstan,Visa Free
335,Albania,Laos,Visa Free
336,Albania,Latvia,Visa Free
337,Albania,Lebanon,Visa Required
338,Albania,Lesotho,eVisa
339,Albania,Liberia,Visa Required
340,Albania,Libya,Visa Required
341,Albania,Liechtenstein,Visa Free
342,Albania,Lithuania,Visa Free
343,Albania,Luxembourg,Visa Free
344,Albania,Macao (SAR China),Visa Free
345,Albania,Madagascar,Visa Free
346,Albania,Malawi,Visa Free
347,Albania,Malaysia,Visa Free
348,Albania,Maldives,Visa Free
349,Albania,Mali,Visa Required
350,Albania,Malta,Visa Free
351,Albania,Marshall Islands,Visa Required
